cohort,sample,orig_blk_mean,orig_blk_std,match_blk_mean,match_blk_std,A_orig_ctplans_recall,A_orig_ctplans_precision,A_orig_ctplans_ppf,B_orig_instzs_recall,B_orig_instzs_precision,B_orig_instzs_ppf,C_match_ctplans_recall,C_match_ctplans_precision,C_match_ctplans_ppf,D_match_instzs_recall,D_match_instzs_precision,D_match_instzs_ppf,E_affine_ctplans_recall,E_affine_ctplans_precision,E_affine_ctplans_ppf,F_affine_instzs_recall,F_affine_instzs_precision,F_affine_instzs_ppf,dAC_recall,dBD_recall,confound_recall
located60,sample_00224,140.178825,30.788555,73.369092,40.625710,0.939823,0.710972,0.255348,0.694472,0.413436,0.324478,0.471893,0.334587,0.272441,0.479206,0.345432,0.267978,0.570352,0.391089,0.281713,0.694501,0.413460,0.324473,-0.467930,-0.215266,0.252664
located60,sample_00225,146.125980,28.227644,75.153699,40.714112,0.913470,0.670786,0.287263,0.714566,0.416089,0.362265,0.485480,0.236213,0.433548,0.507578,0.246655,0.434092,0.633660,0.352135,0.379591,0.714553,0.416020,0.362318,-0.427991,-0.206988,0.221002
located60,sample_00226,139.236722,32.382381,74.168570,40.932023,0.933368,0.737896,0.326981,0.648864,0.498420,0.336530,0.511925,0.394315,0.335605,0.511061,0.397096,0.332692,0.584426,0.444208,0.340101,0.648850,0.498422,0.336521,-0.421443,-0.137803,0.283641
located60,sample_00227,134.714759,33.758511,74.764634,40.393070,0.904272,0.730155,0.307273,0.782401,0.496926,0.390640,0.643970,0.412151,0.387658,0.648354,0.412331,0.390127,0.749871,0.480350,0.387319,0.782380,0.496907,0.390645,-0.260302,-0.134047,0.126255
located60,sample_00229,127.123697,41.279042,74.836483,41.929551,0.935605,0.734843,0.194489,0.741365,0.469565,0.241175,0.769394,0.471158,0.249447,0.798443,0.486256,0.250827,0.728573,0.459347,0.242286,0.741365,0.469573,0.241171,-0.166211,0.057078,0.223289
located60,sample_00231,132.458800,36.930154,74.967064,41.165259,0.911704,0.687472,0.227052,0.855397,0.496740,0.294825,0.817242,0.455929,0.306888,0.832829,0.466303,0.305783,0.845156,0.490163,0.295204,0.855392,0.496731,0.294829,-0.094462,-0.022568,0.071894
nonlocated60,sample_00002,75.732635,37.016182,,,0.975736,0.909147,0.122319,0.976088,0.908565,0.122441,,,,,,,,,,,,,,,
nonlocated60,sample_00004,79.751908,40.899472,,,0.949955,0.861377,0.138587,0.949923,0.861752,0.138522,,,,,,,,,,,,,,,
nonlocated60,sample_00006,85.743254,35.379649,,,0.965696,0.871445,0.182515,0.965911,0.871477,0.182549,,,,,,,,,,,,,,,
nonlocated60,sample_00011,76.325025,40.177666,,,0.967074,0.902787,0.197647,0.967255,0.902567,0.197733,,,,,,,,,,,,,,,
nonlocated60,sample_00015,81.148493,44.687615,,,0.966687,0.904131,0.257669,0.967236,0.904696,0.257654,,,,,,,,,,,,,,,
nonlocated60,sample_00020,75.188357,39.497441,,,0.876959,0.772942,0.136377,0.871621,0.752154,0.139293,,,,,,,,,,,,,,,
nonlocated60,sample_00023,76.838936,33.576401,,,0.964621,0.878708,0.173857,0.964436,0.878643,0.173837,,,,,,,,,,,,,,,
nonlocated60,sample_00027,73.306671,39.937924,,,0.972469,0.903819,0.115507,0.945837,0.865135,0.117368,,,,,,,,,,,,,,,
