path,slab,tile,z0,y0,x0,win_lo_z,win_lo_y,win_lo_x,win_hi_z,win_hi_y,win_hi_x,clamped,n_vox,n_pred,n_lab,n_pred_and_lab,n_pred_near_lab,coverage_strict,coverage_near4,reverse_strict,status
z10080/tile_y2240_x2240.npz,z10080,tile_y2240_x2240,10080,2240,2240,10144,2432,2432,10272,2560,2560,0,2097152,414913,405944,405944,408784,0.978383,0.985228,1.0,ok
z10080/tile_y2240_x2688.npz,z10080,tile_y2240_x2688,10080,2240,2688,10144,2432,2880,10272,2560,3008,0,2097152,843262,0,0,0,0.0,0.0,,ok
z10080/tile_y2240_x448.npz,z10080,tile_y2240_x448,10080,2240,448,10144,2432,640,10272,2560,768,0,2097152,414449,7131,7131,7880,0.017206,0.019013,1.0,ok
z10080/tile_y2240_x896.npz,z10080,tile_y2240_x896,10080,2240,896,10144,2432,1088,10272,2560,1216,0,2097152,521496,517742,517742,518845,0.992801,0.994917,1.0,ok
z10080/tile_y896_x0.npz,z10080,tile_y896_x0,10080,896,0,10144,1088,192,10272,1216,320,0,2097152,262144,0,0,0,0.0,0.0,,ok
z10080/tile_y896_x1344.npz,z10080,tile_y896_x1344,10080,896,1344,10144,1088,1536,10272,1216,1664,0,2097152,580075,573503,573503,577545,0.98867,0.995638,1.0,ok
z10080/tile_y896_x1792.npz,z10080,tile_y896_x1792,10080,896,1792,10144,1088,1984,10272,1216,2112,0,2097152,260489,253068,253068,254549,0.971511,0.977197,1.0,ok
z10080/tile_y896_x2240.npz,z10080,tile_y896_x2240,10080,896,2240,10144,1088,2432,10272,1216,2560,0,2097152,514509,7,7,13,1.4e-05,2.5e-05,1.0,ok
z10080/tile_y896_x2688.npz,z10080,tile_y896_x2688,10080,896,2688,10144,1088,2880,10272,1216,3008,0,2097152,1074913,0,0,0,0.0,0.0,,ok
z10080/tile_y896_x448.npz,z10080,tile_y896_x448,10080,896,448,10144,1088,640,10272,1216,768,0,2097152,276318,272589,272589,273235,0.986505,0.988843,1.0,ok
z10080/tile_y896_x896.npz,z10080,tile_y896_x896,10080,896,896,10144,1088,1088,10272,1216,1216,0,2097152,652318,649855,649855,651641,0.996224,0.998962,1.0,ok
z10304/tile_y1344_x0.npz,z10304,tile_y1344_x0,10304,1344,0,10368,1536,192,10496,1664,320,0,2097152,733499,9590,9590,10523,0.013074,0.014346,1.0,ok
z10304/tile_y1344_x1344.npz,z10304,tile_y1344_x1344,10304,1344,1344,10368,1536,1536,10496,1664,1664,0,2097152,505462,502052,502052,504676,0.993254,0.998445,1.0,ok
z10304/tile_y1344_x1792.npz,z10304,tile_y1344_x1792,10304,1344,1792,10368,1536,1984,10496,1664,2112,0,2097152,575903,574020,574020,575273,0.99673,0.998906,1.0,ok
z10304/tile_y1344_x2240.npz,z10304,tile_y1344_x2240,10304,1344,2240,10368,1536,2432,10496,1664,2560,0,2097152,566811,559957,559957,564113,0.987908,0.99524,1.0,ok
z10304/tile_y1344_x2688.npz,z10304,tile_y1344_x2688,10304,1344,2688,10368,1536,2880,10496,1664,3008,0,2097152,550823,549812,549812,550779,0.998165,0.99992,1.0,ok
z10304/tile_y1344_x448.npz,z10304,tile_y1344_x448,10304,1344,448,10368,1536,640,10496,1664,768,0,2097152,625164,622518,622518,624549,0.995768,0.999016,1.0,ok
z10304/tile_y1344_x896.npz,z10304,tile_y1344_x896,10304,1344,896,10368,1536,1088,10496,1664,1216,0,2097152,580503,577666,577666,579904,0.995113,0.998968,1.0,ok
z10304/tile_y1792_x0.npz,z10304,tile_y1792_x0,10304,1792,0,10368,1984,192,10496,2112,320,0,2097152,1712946,0,0,0,0.0,0.0,,ok
z10304/tile_y1792_x1344.npz,z10304,tile_y1792_x1344,10304,1792,1344,10368,1984,1536,10496,2112,1664,0,2097152,596609,592842,592842,595897,0.993686,0.998807,1.0,ok
z10304/tile_y1792_x1792.npz,z10304,tile_y1792_x1792,10304,1792,1792,10368,1984,1984,10496,2112,2112,0,2097152,587739,586338,586338,587577,0.997616,0.999724,1.0,ok
z10304/tile_y1792_x2240.npz,z10304,tile_y1792_x2240,10304,1792,2240,10368,1984,2432,10496,2112,2560,0,2097152,698026,695358,695358,697391,0.996178,0.99909,1.0,ok
z10304/tile_y1792_x2688.npz,z10304,tile_y1792_x2688,10304,1792,2688,10368,1984,2880,10496,2112,3008,0,2097152,120069,11843,11843,11884,0.098635,0.098976,1.0,ok
z10304/tile_y1792_x448.npz,z10304,tile_y1792_x448,10304,1792,448,10368,1984,640,10496,2112,768,0,2097152,615912,612487,612487,615073,0.994439,0.998638,1.0,ok
z10304/tile_y1792_x896.npz,z10304,tile_y1792_x896,10304,1792,896,10368,1984,1088,10496,2112,1216,0,2097152,581581,578721,578721,580927,0.995082,0.998875,1.0,ok
z10304/tile_y2240_x1344.npz,z10304,tile_y2240_x1344,10304,2240,1344,10368,2432,1536,10496,2560,1664,0,2097152,589035,587126,587126,588638,0.996759,0.999326,1.0,ok
z10304/tile_y2240_x1792.npz,z10304,tile_y2240_x1792,10304,2240,1792,10368,2432,1984,10496,2560,2112,0,2097152,494233,483818,483818,484687,0.978927,0.980685,1.0,ok
z10304/tile_y2240_x2240.npz,z10304,tile_y2240_x2240,10304,2240,2240,10368,2432,2432,10496,2560,2560,0,2097152,301782,295471,295471,296613,0.979088,0.982872,1.0,ok
z10304/tile_y2240_x2688.npz,z10304,tile_y2240_x2688,10304,2240,2688,10368,2432,2880,10496,2560,3008,0,2097152,589824,0,0,0,0.0,0.0,,ok
z10304/tile_y2240_x448.npz,z10304,tile_y2240_x448,10304,2240,448,10368,2432,640,10496,2560,768,0,2097152,542125,0,0,0,0.0,0.0,,ok
z10304/tile_y2240_x896.npz,z10304,tile_y2240_x896,10304,2240,896,10368,2432,1088,10496,2560,1216,0,2097152,584024,580232,580232,582611,0.993507,0.997581,1.0,ok
z10304/tile_y448_x1344.npz,z10304,tile_y448_x1344,10304,448,1344,10368,640,1536,10496,768,1664,0,2097152,0,0,0,0,,,,ok
z10304/tile_y448_x896.npz,z10304,tile_y448_x896,10304,448,896,10368,640,1088,10496,768,1216,0,2097152,0,0,0,0,,,,ok
z10304/tile_y896_x0.npz,z10304,tile_y896_x0,10304,896,0,10368,1088,192,10496,1216,320,0,2097152,262144,0,0,0,0.0,0.0,,ok
z10304/tile_y896_x1344.npz,z10304,tile_y896_x1344,10304,896,1344,10368,1088,1536,10496,1216,1664,0,2097152,475338,470224,470224,473302,0.989241,0.995717,1.0,ok
z10304/tile_y896_x1792.npz,z10304,tile_y896_x1792,10304,896,1792,10368,1088,1984,10496,1216,2112,0,2097152,535821,531579,531579,534138,0.992083,0.996859,1.0,ok
z10304/tile_y896_x2240.npz,z10304,tile_y896_x2240,10304,896,2240,10368,1088,2432,10496,1216,2560,0,2097152,375140,362606,362606,370210,0.966588,0.986858,1.0,ok
z10304/tile_y896_x2688.npz,z10304,tile_y896_x2688,10304,896,2688,10368,1088,2880,10496,1216,3008,0,2097152,705657,0,0,0,0.0,0.0,,ok
z10304/tile_y896_x448.npz,z10304,tile_y896_x448,10304,896,448,10368,1088,640,10496,1216,768,0,2097152,62313,55753,55753,56052,0.894725,0.899523,1.0,ok
z10304/tile_y896_x896.npz,z10304,tile_y896_x896,10304,896,896,10368,1088,1088,10496,1216,1216,0,2097152,656427,653385,653385,655731,0.995366,0.99894,1.0,ok
z10528/tile_y1344_x0.npz,z10528,tile_y1344_x0,10528,1344,0,10592,1536,192,10720,1664,320,0,2097152,1752654,0,0,0,0.0,0.0,,ok
z10528/tile_y1344_x1344.npz,z10528,tile_y1344_x1344,10528,1344,1344,10592,1536,1536,10720,1664,1664,0,2097152,491917,487995,487995,490685,0.992027,0.997496,1.0,ok
z10528/tile_y1344_x1792.npz,z10528,tile_y1344_x1792,10528,1344,1792,10592,1536,1984,10720,1664,2112,0,2097152,640947,637438,637438,640114,0.994525,0.9987,1.0,ok
z10528/tile_y1344_x2240.npz,z10528,tile_y1344_x2240,10528,1344,2240,10592,1536,2432,10720,1664,2560,0,2097152,649489,647317,647317,649276,0.996656,0.999672,1.0,ok
z10528/tile_y1344_x2688.npz,z10528,tile_y1344_x2688,10528,1344,2688,10592,1536,2880,10720,1664,3008,0,2097152,391265,989,989,989,0.002528,0.002528,1.0,ok
z10528/tile_y1344_x448.npz,z10528,tile_y1344_x448,10528,1344,448,10592,1536,640,10720,1664,768,0,2097152,679613,677058,677058,679254,0.996241,0.999472,1.0,ok
z10528/tile_y1344_x896.npz,z10528,tile_y1344_x896,10528,1344,896,10592,1536,1088,10720,1664,1216,0,2097152,658227,655678,655678,657834,0.996127,0.999403,1.0,ok
z10528/tile_y1792_x0.npz,z10528,tile_y1792_x0,10528,1792,0,10592,1984,192,10720,2112,320,0,2097152,908332,0,0,0,0.0,0.0,,ok
z10528/tile_y1792_x1344.npz,z10528,tile_y1792_x1344,10528,1792,1344,10592,1984,1536,10720,2112,1664,0,2097152,627469,626392,626392,627418,0.998284,0.999919,1.0,ok
z10528/tile_y1792_x1792.npz,z10528,tile_y1792_x1792,10528,1792,1792,10592,1984,1984,10720,2112,2112,0,2097152,557074,549880,549880,553255,0.987086,0.993145,1.0,ok
z10528/tile_y1792_x2240.npz,z10528,tile_y1792_x2240,10528,1792,2240,10592,1984,2432,10720,2112,2560,0,2097152,642874,640975,640975,642690,0.997046,0.999714,1.0,ok
z10528/tile_y1792_x2688.npz,z10528,tile_y1792_x2688,10528,1792,2688,10592,1984,2880,10720,2112,3008,0,2097152,999184,0,0,0,0.0,0.0,,ok
z10528/tile_y1792_x448.npz,z10528,tile_y1792_x448,10528,1792,448,10592,1984,640,10720,2112,768,0,2097152,728281,722538,722538,726336,0.992114,0.997329,1.0,ok
z10528/tile_y1792_x896.npz,z10528,tile_y1792_x896,10528,1792,896,10592,1984,1088,10720,2112,1216,0,2097152,562202,559784,559784,561705,0.995699,0.999116,1.0,ok
z10528/tile_y2240_x1344.npz,z10528,tile_y2240_x1344,10528,2240,1344,10592,2432,1536,10720,2560,1664,0,2097152,372598,367897,367897,369012,0.987383,0.990376,1.0,ok
z10528/tile_y2240_x1792.npz,z10528,tile_y2240_x1792,10528,2240,1792,10592,2432,1984,10720,2560,2112,0,2097152,188110,178582,178582,184183,0.949349,0.979124,1.0,ok
z10528/tile_y2240_x2240.npz,z10528,tile_y2240_x2240,10528,2240,2240,10592,2432,2432,10720,2560,2560,0,2097152,235466,16405,16405,16408,0.06967,0.069683,1.0,ok
z10528/tile_y2240_x2688.npz,z10528,tile_y2240_x2688,10528,2240,2688,10592,2432,2880,10720,2560,3008,0,2097152,0,0,0,0,,,,ok
z10528/tile_y2240_x448.npz,z10528,tile_y2240_x448,10528,2240,448,10592,2432,640,10720,2560,768,0,2097152,679243,0,0,0,0.0,0.0,,ok
z10528/tile_y2240_x896.npz,z10528,tile_y2240_x896,10528,2240,896,10592,2432,1088,10720,2560,1216,0,2097152,571509,564937,564937,568601,0.988501,0.994912,1.0,ok
z10528/tile_y448_x1344.npz,z10528,tile_y448_x1344,10528,448,1344,10592,640,1536,10720,768,1664,0,2097152,1251740,0,0,0,0.0,0.0,,ok
z10528/tile_y448_x1792.npz,z10528,tile_y448_x1792,10528,448,1792,10592,640,1984,10720,768,2112,0,2097152,196427,0,0,0,0.0,0.0,,ok
z10528/tile_y448_x896.npz,z10528,tile_y448_x896,10528,448,896,10592,640,1088,10720,768,1216,0,2097152,1378075,0,0,0,0.0,0.0,,ok
z10528/tile_y896_x1344.npz,z10528,tile_y896_x1344,10528,896,1344,10592,1088,1536,10720,1216,1664,0,2097152,630880,629464,629464,630662,0.997756,0.999654,1.0,ok
z10528/tile_y896_x1792.npz,z10528,tile_y896_x1792,10528,896,1792,10592,1088,1984,10720,1216,2112,0,2097152,578257,577369,577369,578168,0.998464,0.999846,1.0,ok
z10528/tile_y896_x2240.npz,z10528,tile_y896_x2240,10528,896,2240,10592,1088,2432,10720,1216,2560,0,2097152,571064,570009,570009,570905,0.998153,0.999722,1.0,ok
z10528/tile_y896_x2688.npz,z10528,tile_y896_x2688,10528,896,2688,10592,1088,2880,10720,1216,3008,0,2097152,160046,1,1,1,6e-06,6e-06,1.0,ok
z10528/tile_y896_x448.npz,z10528,tile_y896_x448,10528,896,448,10592,1088,640,10720,1216,768,0,2097152,705303,0,0,0,0.0,0.0,,ok
z10528/tile_y896_x896.npz,z10528,tile_y896_x896,10528,896,896,10592,1088,1088,10720,1216,1216,0,2097152,566743,564278,564278,566254,0.995651,0.999137,1.0,ok
z10752/tile_y1344_x1344.npz,z10752,tile_y1344_x1344,10752,1344,1344,10816,1536,1536,10944,1664,1664,0,2097152,511429,504972,504972,507257,0.987375,0.991842,1.0,ok
z10752/tile_y1344_x1792.npz,z10752,tile_y1344_x1792,10752,1344,1792,10816,1536,1984,10944,1664,2112,0,2097152,489619,484337,484337,487908,0.989212,0.996505,1.0,ok
z10752/tile_y1344_x2240.npz,z10752,tile_y1344_x2240,10752,1344,2240,10816,1536,2432,10944,1664,2560,0,2097152,680177,676014,676014,679173,0.99388,0.998524,1.0,ok
